"Time","Humidity Run 1","Light Run 1","Pressure Run 1","Pressure Run 1","Sound Run 1","Temperature Run 1",Comment
"s","%RH","lx","kPa","kPa","dBA","°C"
"33.6","41.1","292","97.6","98.59","73.3","25.1"
"34.56","41.2","302","97.6","98.62","74.1","25.1"
"35.52","41.2","627","97.6","98.59","69.1","25.1"
"36.48","41.2","735","97.6","98.59","74.6","25.1"
"37.44","41.2","738","97.6","98.62","61.4","25.1"
"38.4","41.2","708","97.6","98.60","71.2","25.1"
"39.36","41.2","266","97.6","98.60","76.5","25.1"
"40.32","41.2","125","97.6","98.59","72.9","25.1"
"41.28","41.3","226","97.6","98.61","84.2","25.1"
"42.24","41.3","215","97.6","98.59","84.6","25.1"
"43.2","41.3","212","97.6","98.62","49.2","25.1"
"44.16","41.3","263","97.6","98.62","57.5","25.1"
"45.12","41.3","271","97.6","98.58","54.5","25.1"
"46.08","41.3","272","97.6","98.61","55.7","25.1"
"47.04","41.3","270","97.6","98.60","40.7","25.1"
"48","41.3","261","97.6","98.61","40.0","25.1"
"48.96","41.3","266","97.6","98.59","59.4","25.1"
"49.92","41.3","271","97.6","98.62","40.0","25.1"
"50.88","41.3","274","97.6","98.61","40.0","25.1"
"51.84","41.3","275","97.6","98.60","40.0","25.1"
"52.8","41.3","275","97.6","98.59","43.0","25.1"
"53.76","41.3","275","97.6","98.61","71.1","25.1"
"54.72","41.3","275","97.6","98.61","58.0","25.1"
"55.68","41.3","275","97.6","98.61","69.3","25.1"
"56.64","41.2","275","97.6","98.60","75.4","25.1"
"57.6","41.2","275","97.6","98.60","75.4","25.1"
"58.56","41.2","275","97.6","98.62","40.0","25.1"
"59.52","41.2","275","97.6","98.60","74.2","25.1"
"60.48","41.2","275","97.6","98.60","66.5","25.1"
"61.44","41.2","275","97.6","98.58","40.0","25.1"
"62.4","41.2","274","97.6","98.60","40.2","25.1"
"63.36","41.2","274","97.6","98.61","76.1","25.1"
"64.32","41.2","274","97.6","98.61","46.9","25.1"
"65.28","41.2","274","97.6","98.59","63.9","25.1"
"66.24","41.2","265","97.6","98.61","64.8","25.1"
"67.2","41.2","273","97.6","98.61","40.0","25.1"
"68.16","41.2","272","97.6","98.60","61.3","25.1"
"69.12","41.2","263","97.6","98.59","40.0","25.1"
"70.08","41.2","177","97.6","98.62","64.1","25.1"
"71.04","41.2","208","97.6","98.61","77.3","25.1"
"72","41.2","219","97.6","98.60","40.0","25.1"
"72.96","41.2","219","97.6","98.60","75.7","25.1"
"73.92","41.2","219","97.6","98.60","63.3","25.1"
"74.88","41.2","218","97.6","98.61","62.7","25.1"
"75.84","41.2","219","97.6","98.59","40.0","25.1"
"76.8","41.2","258","97.6","98.60","58.6","25.1"
"77.76","41.2","265","97.6","98.60","71.9","25.1"
"78.72","41.2","265","97.6","98.61","71.5","25.1"
"79.68","41.2","265","97.6","98.61","51.1","25.1"
"80.64","41.2","266","97.6","98.59","61.6","25.1"
"81.6","41.2","266","97.6","98.60","42.8","25.1"
"82.56","41.2","267","97.6","98.60","72.8","25.1"
"83.52","41.2","267","97.6","98.59","70.7","25.1"
"84.48","41.2","266","97.6","98.63","74.5","25.1"
"85.44","41.2","265","97.6","98.59","70.4","25.1"
"86.4","41.2","265","97.6","98.61","74.4","25.1"
"87.36","41.2","265","97.6","98.62","66.0","25.1"
"88.32","41.2","264","97.6","98.60","44.7","25.1"
"89.28","41.2","232","97.6","98.62","76.7","25.1"
"90.24","41.2","215","97.6","98.63","40.0","25.1"
"91.2","41.2","257","97.6","98.60","68.6","25.1"
"92.16","41.2","268","97.6","98.60","49.4","25.1"
"93.12","41.2","269","97.6","98.61","74.6","25.1"
"94.08","41.2","269","97.6","98.61","69.4","25.1"
"95.04","41.2","269","97.6","98.60","66.5","25.1"
"96","41.2","263","97.6","98.58","76.5","25.1"
"96.96","41.2","270","97.6","98.61","70.4","25.1"
"97.92","41.2","271","97.6","98.61","59.2","25.1"
"98.88","41.1","272","97.6","98.59","40.0","25.1"
"99.84","41.1","272","97.6","98.56","70.1","25.1"
"100.8","41.1","272","97.6","98.57","69.2","25.1"
"101.76","41.1","271","97.6","98.61","64.8","25.1"
"102.72","41.1","271","97.6","98.58","76.6","25.1"
"103.68","41.1","271","97.6","98.60","41.8","25.1"
"104.64","41.1","271","97.6","98.59","40.0","25.1"
"105.6","41.1","271","97.6","98.57","60.7","25.1"
"106.56","41.1","270","97.6","98.61","78.1","25.1"
"107.52","41.1","270","97.6","98.60","76.5","25.1"
"108.48","41.1","270","97.6","98.62","49.7","25.1"
"109.44","41.1","270","97.6","98.61","40.0","25.1"
"110.4","41.1","270","97.6","98.59","69.1","25.1"
"111.36","41.1","270","97.6","98.59","69.9","25.1"
"112.32","41.1","270","97.6","98.59","67.9","25.1"
"113.28","41.1","269","97.6","98.61","54.2","25.1"
"114.24","41.1","269","97.6","98.61","53.5","25.1"
"115.2","41.1","269","97.6","98.58","40.0","25.1"
"116.16","41.1","269","97.6","98.58","66.3","25.1"
"117.12","41.1","269","97.6","98.57","40.0","25.1"
"118.08","41.1","269","97.6","98.59","66.9","25.1"
"119.04","41.1","267","97.6","98.61","68.4","25.1"
"120","41.1","258","97.6","98.60","46.9","25.1"
"120.96","41.1","258","97.6","98.61","40.0","25.1"
"121.92","41.1","249","97.6","98.61","71.1","25.1"
"122.88","41.1","51","97.6","98.59","74.4","25.1"
"123.84","41.1","10","97.6","98.58","63.6","25.1"
"124.8","41.1","50","97.6","98.61","40.0","25.1"
"125.76","41.1","93","97.6","98.60","48.5","25.1"
"126.72","41.1","94","97.6","98.61","54.2","25.1"
"127.68","41.1","113","97.6","98.61","80.4","25.1"
"128.64","41.1","115","97.6","98.60","72.2","25.1"
"129.6","41.1","111","97.6","98.62","45.2","25.1"
"130.56","41.1","133","97.6","98.57","52.9","25.1"
"131.52","41.1","140","97.6","98.60","40.0","25.1"
"132.48","41.1","137","97.6","98.57","66.7","25.1"
"133.44","41.1","129","97.6","98.61","63.8","25.1"
"134.4","41.1","121","97.6","98.59","58.7","25.1"
"135.36","41.1","118","97.6","98.60","65.2","25.1"
"136.32","41.1","114","97.6","98.62","41.6","25.1"
"137.28","41.1","109","97.6","98.61","47.8","25.1"
"138.24","41.1","110","97.6","98.60","69.4","25.1"
"139.2","41.1","180","97.6","98.59","45.8","25.1"
"140.16","41.1","192","97.6","98.62","72.1","25.1"
"141.12","41.1","153","97.6","98.60","40.0","25.1"
"142.08","41.1","155","97.6","98.60","56.5","25.1"
"143.04","41.1","144","97.6","98.63","40.0","25.1"
"144","41.1","146","97.6","98.62","74.2","25.1"
"144.96","41.1","164","97.6","98.59","60.8","25.1"
"145.92","41.1","167","97.6","98.58","71.5","25.1"
"146.88","41.1","167","97.6","98.58","66.4","25.1"
"147.84","41.1","167","97.6","98.62","62.9","25.1"
"148.8","41.1","165","97.6","98.62","48.8","25.1"
"149.76","41.1","132","97.6","98.61","72.6","25.1"
"150.72","41.1","131","97.6","98.60","67.3","25.1"
"151.68","41.1","124","97.6","98.59","57.7","25.1"
"152.64","41.1","208","97.6","98.62","72.8","25.1"
"153.6","41.1","260","97.6","98.57","74.5","25.1"
"154.56","41.1","264","97.6","98.61","49.9","25.1"
"155.52","41.1","269","97.6","98.62","40.3","25.1"
"156.48","41.1","270","97.6","98.60","51.6","25.1"
"157.44","41.1","270","97.6","98.60","53.7","25.1"
"158.4","41.1","270","97.6","98.59","47.9","25.1"
"159.36","41.1","270","97.6","98.55","65.7","25.1"
"160.32","41.1","270","97.6","98.58","48.6","25.1"
"161.28","41.1","271","97.6","98.58","40.0","25.1"
"162.24","41.1","271","97.6","98.62","66.8","25.1"
"163.2","41.1","271","97.6","98.60","46.1","25.1"
"164.16","41.1","271","97.6","98.58","66.1","25.1"
"165.12","41.1","271","97.6","98.57","65.6","25.1"
"166.08","41.1","271","97.6","98.59","64.6","25.1"
"167.04","41.1","271","97.6","98.59","70.1","25.1"
"168","41.1","271","97.6","98.61","40.0","25.1"
"168.96","41.1","271","97.6","98.60","80.5","25.1"
"169.92","41.1","270","97.6","98.60","57.4","25.1"
"170.88","41.1","269","97.6","98.62","66.8","25.1"
"171.84","41.1","248","97.6","98.63","46.0","25.1"
"172.8","41.1","123","97.6","98.62","74.3","25.1"
"173.76","41.1","100","97.6","98.57","73.1","25.1"
"174.72","41.1","97","97.6","98.62","77.0","25.1"
"175.68","41.1","93","97.6","98.60","48.9","25.1"
"176.64","41.1","90","97.6","98.59","40.0","25.1"
"177.6","41.1","90","97.6","98.60","40.0","25.1"
"178.56","41.1","98","97.6","98.59","84.6","25.1"
"179.52","41.1","90","97.6","98.63","75.5","25.1"
"180.48","41.1","90","97.6","98.58","41.6","25.1"
"181.44","41.1","90","97.6","98.64","74.9","25.1"
"182.4","41.1","91","97.6","98.59","66.8","25.1"
"183.36","41.1","86","97.6","98.61","81.7","25.1"
"184.32","41.1","95","97.6","98.56","74.7","25.1"
"185.28","41.1","99","97.6","98.61","40.0","25.1"
"186.24","41.1","82","97.6","98.58","83.4","25.1"
"187.2","41.1","70","97.6","98.58","77.2","25.1"
"188.16","41.1","80","97.6","98.61","40.0","25.1"
"189.12","41.1","90","97.6","98.59","54.8","25.1"
"190.08","41.1","90","97.6","98.58","82.4","25.1"
"191.04","41.1","109","98.0","98.62","76.1","25.0"
"192","41.1","92","98.0","98.61","66.5","25.0"
"192.96","41.1","112","98.0","98.59","55.0","25.0"
"193.92","41.1","112","97.8","98.59","53.7","25.0"
"194.88","41.1","111","97.8","98.59","40.0","25.0"
"195.84","41.1","109","98.0","98.60","55.0","25.0"
"196.8","41.1","85","98.2","98.58","84.3","25.0"
"197.76","41.1","87","98.2","98.61","59.8","25.0"
"198.72","41.1","87","98.2","98.58","40.0","25.0"
"199.68","41.1","86","98.2","98.60","56.7","25.0"
"200.64","41.1","86","98.2","98.58","74.0","24.9"
"201.6","41.1","100","98.2","98.58","74.1","24.9"
"202.56","41.1","104","98.2","98.57","74.7","24.9"
"203.52","41.1","88","98.4","98.60","81.5","24.9"
"204.48","41.1","76","98.2","98.60","82.6","24.9"
"205.44","41.1","86","98.4","98.60","81.6","24.9"
"206.4","41.1","94","98.4","98.59","75.1","24.9"
"207.36","41.1","104","98.4","98.61","64.2","24.9"
"208.32","41.1","109","98.4","98.63","71.5","24.9"
"209.28","41.1","111","98.4","98.62","63.0","24.9"
"210.24","41.1","111","98.4","98.61","68.6","24.8"
"211.2","41.1","75","98.4","98.63","47.0","24.8"
"212.16","41.1","70","98.4","98.57","83.5","24.8"
"213.12","41.1","68","98.4","98.63","73.3","24.8"
"214.08","41.1","88","98.4","98.58","40.0","24.8"
"215.04","41.1","92","98.4","98.61","66.2","24.8"
"216","41.1","79","98.4","98.61","71.7","24.8"
"216.96","41.1","38","98.4","98.59","102.2","24.8"
"217.92","41.1","50","98.4","98.59","81.1","24.8"
"218.88","41.3","46","98.4","98.60","83.2","24.8"
"219.84","41.5","99","98.4","98.60","84.2","24.7"
"220.8","41.7","121","98.4","98.60","81.6","24.7"
"221.76","41.8","125","98.4","98.58","85.7","24.7"
"222.72","41.8","111","98.4","98.60","84.2","24.7"
"223.68","41.9","72","98.4","98.60","76.4","24.7"
"224.64","41.9","84","98.4","98.60","84.1","24.7"
"225.6","41.9","78","98.4","98.60","79.3","24.7"
"226.56","41.9","70","98.4","98.62","79.5","24.7"
"227.52","41.8","79","98.6","98.58","78.6","24.7"
"228.48","41.8","135","98.4","98.61","64.9","24.7"
"229.44","41.8","181","98.6","98.61","71.8","24.7"
"230.4","41.7","102","98.6","98.57","74.8","24.7"
"231.36","41.7","91","98.6","98.62","40.0","24.7"
"232.32","41.7","90","98.6","98.57","73.7","24.7"
"233.28","41.7","89","98.6","98.60","73.6","24.7"
"234.24","41.7","86","98.6","98.59","68.9","24.7"
"235.2","41.6","74","98.6","98.62","84.6","24.7"
"236.16","41.6","66","98.6","98.58","79.0","24.7"
"237.12","41.6","135","98.6","98.61","87.2","24.7"
"238.08","41.6","161","98.6","98.57","83.6","24.7"
"239.04","41.6","113","98.6","98.58","78.8","24.7"
"240","41.5","90","98.6","98.62","82.6","24.7"
"240.96","41.5","84","98.6","98.60","80.2","24.6"
"241.92","41.5","100","98.6","98.60","84.9","24.6"
"242.88","41.5","169","98.6","98.59","83.0","24.6"
"243.84","41.5","167","98.6","98.58","86.0","24.6"
"244.8","41.5","169","98.6","98.57","89.5","24.6"
"245.76","41.5","178","98.6","98.60","83.8","24.6"
"246.72","41.4","180","98.6","98.54","80.9","24.6"
"247.68","41.4","169","98.6","98.62","87.7","24.6"
"248.64","41.4","92","98.8","98.58","79.8","24.6"
"249.6","41.4","79","98.8","98.59","81.5","24.5"
"250.56","41.4","77","98.8","98.58","81.0","24.5"
"251.52","41.4","76","98.8","98.61","80.7","24.5"
"252.48","41.4","76","98.8","98.60","88.9","24.5"
"253.44","41.4","78","98.8","98.60","82.4","24.5"
"254.4","41.4","86","98.8","98.58","79.7","24.5"
"255.36","41.3","105","98.8","98.62","78.3","24.5"
"256.32","41.3","92","98.8","98.60","76.8","24.5"
"257.28","41.3","85","98.8","98.58","74.8","24.5"
"258.24","41.3","85","98.8","98.60","78.2","24.5"
"259.2","41.3","88","98.8","98.58","74.4","24.5"
"260.16","41.3","95","98.8","98.58","90.4","24.5"
"261.12","41.3","166","98.8","98.60","78.7","24.4"
"262.08","41.3","179","98.8","98.60","84.1","24.4"
"263.04","41.3","136","98.8","98.58","78.0","24.4"
"264","41.3","92","98.8","98.59","74.0","24.4"
"264.96","41.3","91","98.8","98.62","73.0","24.4"
"265.92","41.3","87","98.8","98.58","72.8","24.4"
"266.88","41.2","142","98.8","98.56","81.1","24.4"
"267.84","41.2","185","98.8","98.59","79.6","24.4"
"268.8","41.2","176","98.8","98.60","78.9","24.4"
"269.76","41.2","112","98.8","98.59","76.2","24.4"
"270.72","41.2","156","98.8","98.62","77.5","24.4"
"271.68","41.2","176","98.8","98.59","76.4","24.4"
"272.64","41.2","141","99.0","98.56","69.6","24.4"
"273.6","41.2","159","98.8","98.58","76.9","24.4"
"274.56","41.2","186","98.8","98.58","75.5","24.4"
"275.52","41.2","126","99.0","98.59","62.4","24.4"
"276.48","41.2","181","98.8","98.59","86.3","24.4"
"277.44","41.2","184","99.0","98.59","76.8","24.4"
"278.4","41.2","125","99.0","98.61","83.8","24.4"
"279.36","41.1","121","99.0","98.59","40.0","24.4"
"280.32","41.1","119","99.0","98.58","77.1","24.4"
"281.28","41.1","118","99.0","98.58","75.8","24.4"
"282.24","41.1","117","99.0","98.61","73.1","24.4"
"283.2","41.1","117","99.0","98.61","64.5","24.4"
"284.16","41.1","118","99.0","98.56","45.6","24.4"
"285.12","41.1","116","99.0","98.60","67.5","24.4"
"286.08","41.1","91","99.0","98.61","75.0","24.4"
"287.04","41.1","104","99.0","98.63","71.0","24.4"
"288","41.1","157","99.0","98.60","80.5","24.4"
"288.96","41.1","189","99.0","98.59","84.7","24.4"
"289.92","41.1","174","99.0","98.60","64.8","24.4"
"290.88","41.1","154","99.0","98.58","57.0","24.4"
"291.84","41.1","164","99.0","98.62","40.0","24.4"
"292.8","41.1","176","99.0","98.56","45.6","24.4"
"293.76","41.1","174","99.0","98.59","79.4","24.4"
"294.72","41.1","125","99.0","98.64","75.9","24.4"
"295.68","41.1","110","99.2","98.61","69.2","24.4"
"296.64","41.1","109","99.2","98.60","65.1","24.4"
"297.6","41.1","107","99.2","98.60","73.9","24.3"
"298.56","41.1","107","99.2","98.61","82.3","24.3"
"299.52","41.1","105","99.2","98.62","82.7","24.3"
"300.48","41.1","104","99.2","98.59","77.8","24.3"
"301.44","41.1","105","99.2","98.59","65.7","24.3"
"302.4","41.1","104","99.2","98.58","59.8","24.3"
"303.36","41.1","103","99.2","98.59","75.4","24.3"
"304.32","41.0","107","99.2","98.63","63.3","24.3"
"305.28","41.0","156","99.2","98.59","77.4","24.3"
"306.24","41.0","176","99.2","98.55","40.0","24.3"
"307.2","41.0","191","99.2","98.60","60.2","24.3"
"308.16","41.0","216","99.2","98.59","61.3","24.3"
"309.12","41.0","213","99.2","98.60","72.7","24.3"
"310.08","41.0","212","99.2","98.60","73.9","24.3"
"311.04","41.0","133","99.2","98.57","78.0","24.3"
"312","41.0","115","99.2","98.58","79.1","24.3"
"312.96","41.0","135","99.2","98.60","86.1","24.2"
"313.92","41.0","180","99.2","98.59","77.4","24.2"
"314.88","41.0","181","99.2","98.61","71.6","24.2"
"315.84","41.0","145","99.2","98.60","72.2","24.2"
"316.8","41.0","95","99.2","98.57","68.0","24.2"
"317.76","41.0","98","99.2","98.61","47.3","24.2"
"318.72","41.0","149","99.2","98.60","60.0","24.2"
"319.68","41.0","191","99.2","98.59","77.2","24.2"
"320.64","41.0","150","99.2","98.62","58.0","24.2"
"321.6","41.0","127","99.2","98.60","53.8","24.2"
"322.56","41.0","115","99.3","98.63","44.5","24.3"
"323.52","41.0","186","99.3","98.59","65.2","24.3"
"324.48","41.0","184","99.3","98.55","79.9","24.3"
"325.44","41.0","182","99.3","98.60","76.0","24.3"
"326.4","41.0","124","99.3","98.62","72.5","24.3"
"327.36","41.0","112","99.3","98.59","41.7","24.3"
"328.32","41.0","110","99.3","98.57","56.6","24.3"
"329.28","41.0","111","99.3","98.58","79.5","24.3"
"330.24","41.1","109","99.3","98.60","81.0","24.4"
"331.2","41.0","110","99.3","98.60","77.7","24.4"
"332.16","41.1","109","99.3","98.60","54.6","24.4"
"333.12","41.1","110","99.3","98.61","58.7","24.4"
"334.08","41.1","110","99.3","98.58","59.3","24.4"
"335.04","41.1","109","99.3","98.60","62.6","24.4"
"336","41.1","110","99.3","98.62","70.8","24.4"
"336.96","41.1","110","99.3","98.60","72.3","24.4"
"337.92","41.1","110","99.3","98.59","68.5","24.4"
"338.88","41.1","110","99.3","98.62","65.2","24.5"
"339.84","41.1","109","99.3","98.59","61.7","24.5"
"340.8","41.1","109","99.3","98.61","83.7","24.5"
"341.76","41.1","109","99.3","98.60","66.5","24.5"
"342.72","41.1","115","99.3","98.62","85.2","24.5"
"343.68","41.1","180","99.3","98.57","74.0","24.5"
"344.64","41.1","213","99.5","98.61","82.2","24.5"
"345.6","41.1","202","99.5","98.61","73.1","24.5"
"346.56","41.1","111","99.5","98.59","74.4","24.5"
"347.52","41.1","132","99.5","98.63","49.3","24.5"
"348.48","41.1","110","99.5","98.59","84.2","24.5"
"349.44","41.1","19","99.5","98.61","58.5","24.6"
"350.4","41.1","6","99.5","98.59","49.8","24.6"
"351.36","41.1","5","99.5","98.63","62.9","24.6"
"352.32","41.1","4","99.5","98.57","40.0","24.6"
"353.28","41.1","4","99.5","98.60","57.6","24.6"
"354.24","41.1","4","99.5","98.62","40.0","24.6"
"355.2","41.1","4","99.5","98.59","81.8","24.6"
"356.16","41.1","4","99.5","98.59","71.9","24.6"
"357.12","41.2","4","99.5","98.58","75.9","24.6"
"358.08","41.2","4","99.5","98.60","40.0","24.6"
"359.04","41.2","4","99.5","98.57","77.2","24.7"
"360","41.2","4","99.5","98.59","78.6","24.7"
"360.96","41.2","4","99.5","98.55","78.4","24.7"
"361.92","41.3","100","99.5","98.58","67.7","24.7"
"362.88","41.3","100","99.5","98.59","69.6","24.7"
"363.84","41.3","159","99.5","98.60","40.0","24.7"
"364.8","41.3","215","99.5","98.61","42.7","24.7"
"365.76","41.4","125","99.5","98.60","80.2","24.7"
"366.72","41.4","76","99.7","98.57","68.8","24.7"
"367.68","41.4","125","99.7","98.57","67.6","24.7"
"368.64","41.4","127","99.5","98.59","40.0","24.7"
"369.6","41.4","133","99.7","98.58","72.7","24.7"
"370.56","41.4","133","99.7","98.60","79.4","24.7"
"371.52","41.4","109","99.7","98.58","70.1","24.7"
"372.48","41.4","52","99.7","98.61","55.6","24.7"
"373.44","41.4","28","99.7","98.61","50.5","24.7"
"374.4","41.5","20","99.7","98.59","82.3","24.7"
"375.36","44.5","22","99.7","98.61","57.2","24.8"
"376.32","46.6","19","99.7","98.61","91.8","24.8"
"377.28","51.5","38","99.7","98.58","64.2","24.8"
"378.24","52.9","88","99.7","98.59","63.6","24.8"
"379.2","52.7","141","99.7","98.59","78.5","24.8"
"380.16","52.1","169","99.7","98.56","71.0","24.8"
"381.12","51.7","96","99.7","98.60","61.4","24.8"
"382.08","51.3","71","99.7","98.61","70.9","24.8"
"383.04","51.0","51","99.7","98.57","51.8","24.8"
"384","51.4","19","99.7","98.58","92.3","24.8"
"384.96","51.4","16","99.7","98.62","45.3","24.8"
"385.92","52.5","17","99.7","98.60","61.6","24.8"
"386.88","53.5","15","99.7","98.61","80.0","24.8"
"387.84","54.3","61","99.7","98.59","63.2","24.8"
"388.8","54.4","109","99.9","98.58","40.8","24.9"
"389.76","54.3","197","99.9","98.56","46.9","24.9"
"390.72","54.2","234","99.7","98.59","60.2","24.9"
"391.68","54.0","244","99.9","98.62","52.9","24.9"
"392.64","53.8","248","99.9","98.63","40.0","24.9"
"393.6","53.7","247","99.9","98.58","40.0","24.9"
"394.56","53.6","240","99.9","98.57","70.6","24.9"
"395.52","53.5","238","99.9","98.56","80.2","24.9"
"396.48","53.4","237","99.9","98.62","71.6","24.9"
"397.44","53.4","239","99.9","98.58","76.6","24.9"
"398.4","53.3","239","99.9","98.60","60.3","24.9"
"399.36","53.3","240","99.9","98.59","72.2","24.9"
"400.32","53.3","240","99.9","98.62","71.4","24.9"
"401.28","53.3","161","99.9","98.60","71.7","24.9"
"402.24","53.2","162","99.9","98.59","51.0","24.9"
"403.2","53.3","223","99.9","98.58","77.2","24.9"
"404.16","53.2","231","99.9","98.58","56.8","24.9"
"405.12","53.1","233","99.9","98.58","53.7","25.0"
"406.08","53.0","232","99.9","98.62","40.0","25.0"
"407.04","52.9","216","99.9","98.57","68.5","25.0"
"408","52.8","124","99.9","98.58","48.9","25.0"
"408.96","52.7","113","99.9","98.59","46.1","25.0"
"409.92","52.6","109","99.9","98.63","61.1","25.0"
"410.88","52.5","112","99.9","98.58","67.2","25.0"
"411.84","52.4","111","99.9","98.61","85.3","25.0"
"412.8","52.4","112","99.9","98.61","76.1","25.0"
"413.76","52.3","112","99.9","98.62","73.6","25.0"
"414.72","52.2","114","99.9","98.59","40.9","25.0"
"415.68","52.1","110","99.9","98.58","72.5","25.0"
"416.64","52.0","109","99.9","98.59","75.4","25.0"
"417.6","52.0","109","99.9","98.60","72.2","25.0"
"418.56","51.9","132","100.1","98.60","54.1","25.0"
"419.52","51.8","115","99.9","98.59","60.9","25.0"
"420.48","51.7","110","99.9","98.58","52.3","25.0"
"421.44","51.6","109","99.9","98.58","71.7","25.0"
"422.4","51.5","110","99.9","98.62","66.4","25.0"
"423.36","51.4","110","100.1","98.61","79.1","25.0"
"424.32","51.3","110","100.1","98.60","59.7","25.0"
"425.28","51.2","110","100.1","98.58","60.1","25.0"
"426.24","51.2","110","100.1","98.61","40.0","25.3"
"427.2","51.1","111","100.1","98.61","40.0","26.0"
"428.16","51.0","110","100.1","98.59","74.5","26.6"
"429.12","50.9","111","100.1","98.60","63.8","27.3"
"430.08","50.9","111","100.1","98.57","71.9","28.0"
"431.04","50.8","110","100.1","98.61","63.4","28.6"
"432","50.8","109","100.1","98.57","44.8","29.1"
"432.96","50.7","110","100.1","98.60","74.1","29.7"
"433.92","50.7","110","100.1","98.58","48.8","30.2"
"434.88","50.6","110","100.1","98.56","69.4","30.6"
"435.84","50.5","110","100.1","98.59","50.6","31.0"
"436.8","50.4","110","100.1","98.62","52.6","31.3"
"437.76","50.3","110","100.1","98.59","67.3","31.7"
"438.72","50.3","110","100.1","98.58","40.6","32.0"
"439.68","50.2","110","100.1","98.59","40.0","32.2"
"440.64","50.1","110","100.1","98.60","61.6","32.5"
"441.6","50.0","109","100.1","98.59","63.1","32.7"
"442.56","49.9","110","100.1","98.57","43.2","32.9"
"443.52","49.8","110","100.1","98.57","51.7","33.1"
"444.48","49.8","110","100.1","98.62","40.0","33.3"
"445.44","49.7","111","100.1","98.60","62.6","33.4"
"446.4","49.6","110","100.1","98.60","40.0","33.6"
"447.36","49.5","110","100.1","98.60","60.6","33.7"
"448.32","49.5","110","100.1","98.59","76.9","33.8"
"449.28","49.4","110","100.1","98.59","70.3","33.9"
"450.24","49.4","110","100.3","98.60","67.3","34.0"
"451.2","49.3","111","100.1","98.59","65.8","34.1"
"452.16","49.2","110","100.1","98.59","45.5","34.2"
"453.12","49.1","110","100.3","98.59","61.0","34.2"
"454.08","49.1","110","100.3","98.56","40.0","34.3"
"455.04","49.0","111","100.3","98.63","57.6","34.4"
"456","48.9","111","100.3","98.61","75.3","34.4"
"456.96","48.9","111","100.1","98.61","66.3","34.5"
"457.92","48.8","111","100.3","98.60","80.1","34.5"
"458.88","48.8","112","100.3","98.62","47.8","34.6"
"459.84","48.7","142","100.3","98.61","86.1","34.6"
"460.8","48.6","115","100.3","98.61","72.9","34.7"
"461.76","48.6","88","100.3","98.59","41.0","34.7"
"462.72","48.5","164","100.3","98.59","40.0","34.7"
"463.68","48.4","219","100.3","98.60","70.0","34.7"
"464.64","48.4","225","100.3","98.58","42.1","34.8"
"465.6","48.3","223","100.3","98.61","40.0","34.8"
"466.56","48.3","216","100.3","98.61","68.0","34.8"
"467.52","48.2","218","100.3","98.62","79.3","34.9"
"468.48","48.1","217","100.3","98.61","83.1","34.9"
"469.44","48.1","216","100.3","98.58","65.6","34.9"
"470.4","48.0","216","100.3","98.61","60.0","34.9"
"471.36","48.0","220","100.3","98.59","72.8","34.9"
"472.32","47.9","219","100.3","98.59","70.9","35.0"
"473.28","47.8","217","100.3","98.60","81.0","35.0"
"474.24","47.8","213","100.3","98.61","71.0","35.0"
"475.2","47.7","217","100.3","98.57","47.2","35.0"
